xactid;op
0000142C0002;0
0000142C0002;65
0000142C0002;65
0000142C0002;30
0000142C0006;0
0000142C0006;65
0000142C0006;65
0000142C0006;30
0000142C000A;0
0000142C000A;65
0000142C000A;65
0000142C000A;30
0000142C000E;17
0000142C000F;0
0000142C000F;30
0000142C0011;0
0000142C0011;12
0000142C0011;12
0000142C0011;12
0000142C0011;12
0000142C0011;12
0000142C0011;12
0000142C0011;12
0000142C0011;12
0000142C0011;12
0000142C0011;12
0000142C0011;5
0000142C0011;5
0000142C0011;5
0000142C0011;5
0000142C0011;5
0000142C0011;5
0000142C0011;5
0000142C0011;5
0000142C0011;5
0000142C0011;5
0000142C0011;8
0000142C0011;21
0000142C0011;12
0000142C0011;12
0000142C0011;12
0000142C0011;12
0000142C0011;5
0000142C0011;5
0000142C0011;5
0000142C0011;5
0000142C0011;12
0000142C0011;12
0000142C0011;12
0000142C0011;12
0000142C0011;12
0000142C0011;12
0000142C0011;12
0000142C0011;12
0000142C0011;12
0000142C0011;12
0000142C0011;12
0000142C0011;12
0000142C0011;12
0000142C0011;12
0000142C0011;12
0000142C0011;12
0000142C0011;12
0000142C0011;12
0000142C0011;12
0000142C0011;12
0000142C0011;12
0000142C0011;12
0000142C0011;12
0000142C0011;12
0000142C0011;12
0000142C0011;12
0000142C0011;12
0000142C0011;12
0000142C0011;12
0000142C0011;12
0000142C0011;12
0000142C0011;12
0000142C0011;12
0000142C0011;12
0000142C0011;12
0000142C0011;12
0000142C0011;12
0000142C0011;12
0000142C0011;12
0000142C0011;12
0000142C0011;12
0000142C0011;12
0000142C0011;12
0000142C0011;12
0000142C0011;12
0000142C0011;12
0000142C0011;12
0000142C0011;12
0000142C0011;12
0000142C0011;12
0000142C0011;12
0000142C0011;12
0000142C0011;12
0000142C0011;12
0000142C0011;12
0000142C0011;12
0000142C0011;12
0000142C0011;12
0000142C0011;12
0000142C0011;12
0000142C0011;12
0000142C0011;12
0000142C0011;12
0000142C0011;12
0000142C0011;12
0000142C0011;12
0000142C0011;12
0000142C0011;12
0000142C0011;12
0000142C0011;12
0000142C0011;12
0000142C0011;12
0000142C0011;12
0000142C0011;12
0000142C0011;12
0000142C0011;12
0000142C0011;12
0000142C0011;12
0000142C0011;12
0000142C0011;12
0000142C0011;12
0000142C0011;12
0000142C0011;12
0000142C0011;12
0000142C0011;12
0000142C0011;12
0000142C0011;12
0000142C0011;12
0000142C0011;12
0000142C0011;12
0000142C0011;12
0000142C0011;12
0000142C0011;12
0000142C0011;12
0000142C0011;12
0000142C0011;12
0000142C0011;12
0000142C0011;12
0000142C0011;12
0000142C0011;12
0000142C0011;12
0000142C0011;12
0000142C0011;12
0000142C0011;12
0000142C0011;12
0000142C0011;12
0000142C0011;12
0000142C0011;12
0000142C0011;12
0000142C0011;12
0000142C0011;12
0000142C0011;12
0000142C0011;12
0000142C0011;12
0000142C0011;12
0000142C0011;12
0000142C0011;12
0000142C0011;12
