name;id;indid;doampg;ioampg;oampgtrips;status2;ipgtrips;first;root;distribution;usagecnt;segment;status;maxrowsperpage;minlen;maxlen;maxirow;keycnt;keys1;keys2;soid;csid;base_partition;fill_factor;res_page_gap;exp_rowsize;keys3;identitygap
ncsysattributes;21;2;0;592;0;0;0;616;616;0;0;0;0;0;9;64;68;7;810203002F0200010006000000000000810405082604FFFFFFFE000000000000810406082604FFFEFFFD000000000000810007082604FFFDFFFC000000000000810008082604FFFCFFFB00000000000081000408271EFFFBFFFF000000000000810600002D0600030000000000000000;[NULL];104;1;[NULL];0;0;[NULL];[NULL];[NULL]
tsysattributes;21;255;0;144;0;0;0;145;145;0;31024;0;0;0;0;0;0;0;[NULL];[NULL];0;0;[NULL];[NULL];0;[NULL];[NULL];[NULL]
csyspartitions;22;1;392;384;0;0;0;393;385;0;0;0;146;0;52;52;13;2;0000020038040001000400000000000000000300380400050008000000000000;[NULL];0;0;1;0;0;0;[NULL];[NULL]
systabstats;23;0;376;0;0;0;0;400;400;0;0;0;128;0;144;144;0;0;[NULL];[NULL];0;0;1;0;0;1;[NULL];[NULL]
csystabstats;23;2;0;408;0;512;0;417;416;0;0;0;130;0;13;13;13;3;8104020038040001000800000000000081020100340200050006000000000000000000002D0600070000000000000000;[NULL];0;0;[NULL];0;0;[NULL];[NULL];[NULL]
sysstatistics;24;0;424;0;0;0;0;425;425;0;0;0;0;0;26;1964;0;0;[NULL];[NULL];0;0;1;0;0;0;[NULL];0
csysstatistics;24;2;0;432;0;512;0;441;440;0;0;0;130;0;18;119;119;6;0000020038040001000800000000000000000100340200050006000000000000000007082564FFFFFFFF000000000000000005003001000700180000000000000000030038040008000C000000000000000000002D06000C0000000000000000;[NULL];0;0;[NULL];0;0;[NULL];[NULL];[NULL]
sysxtypes;25;0;456;0;0;0;0;457;457;0;0;0;0;0;24;576;0;0;[NULL];[NULL];0;0;1;0;0;0;[NULL];0
csysxtypes;25;2;0;480;0;512;0;489;488;0;0;0;130;0;11;11;11;2;00000200380400010008000000000000000000002D0600050000000000000000;[NULL];0;0;[NULL];0;0;[NULL];[NULL];[NULL]
ncsysxtypes;25;3;0;496;0;0;0;505;504;0;0;0;130;0;7;265;265;2;0000060827FFFFFFFFFF000000000000000000002D0600010000000000000000;[NULL];104;1;[NULL];0;0;[NULL];[NULL];[NULL]
tsysxtypes;25;255;0;448;0;0;0;449;449;0;0;0;0;0;0;0;0;0;[NULL];[NULL];0;0;[NULL];[NULL];0;[NULL];[NULL];0
sysjars;26;0;513;0;0;0;0;514;514;0;0;0;0;0;12;64;0;0;[NULL];[NULL];0;0;1;0;0;0;[NULL];0
csysjars;26;2;0;520;0;512;0;529;528;0;0;0;130;0;11;11;11;2;00000200380400010008000000000000000000002D0600050000000000000000;[NULL];0;0;[NULL];0;0;[NULL];[NULL];[NULL]
ncsysjars;26;3;0;544;0;0;0;553;552;0;0;0;130;0;7;38;38;2;00000308271EFFFFFFFF000000000000000000002D0600010000000000000000;[NULL];104;1;[NULL];0;0;[NULL];[NULL];[NULL]
tsysjars;26;255;0;464;0;0;0;465;465;0;0;0;0;0;0;0;0;0;[NULL];[NULL];0;0;[NULL];[NULL];0;[NULL];[NULL];0
sysqueryplans;27;0;160;0;0;0;0;161;161;0;0;0;0;0;24;289;0;0;[NULL];[NULL];0;0;1;0;0;0;[NULL];0
csysqueryplans;27;2;0;176;0;512;0;185;184;0;0;0;130;0;25;25;25;7;00000100340200010006000000000000000002003804000300080000000000000000030038040007000C000000000000000004003804000B0010000000000000000005003402000F001400000000000000000600340200110016000000000000000000002D0600130000000000000000;[NULL];0;0;[NULL];0;0;[NULL];[NULL];[NULL]
ncsysqueryplans;27;3;0;536;0;0;0;625;624;0;0;0;130;0;15;15;15;4;000004003804000100100000000000000000050034020005001400000000000000000600340200070016000000000000000000002D0600090000000000000000;[NULL];0;0;[NULL];0;0;[NULL];[NULL];[NULL]
TestB_2400038861;240003886;1;640;632;0;11;0;641;633;0;0;1;2194;0;14;14;13;2;0000010038040001000200000000000000000200380400050006000000000000;[NULL];0;0;1;0;0;1;[NULL];[NULL]
TestA_2720040001;272004000;1;672;648;0;11;0;673;649;0;0;1;2194;0;14;14;9;1;00000100380400010002000000000000;[NULL];0;0;1;0;0;1;[NULL];[NULL]
idx_TestA_non_Attr1_Attr2;272004000;2;0;320;0;0;0;321;321;0;0;1;0;0;15;15;19;3;0000030038040001000A00000000000000000200380400050006000000000000000000002D0600090000000000000000;[NULL];0;0;[NULL];0;0;[NULL];[NULL];[NULL]
TestC_3040041141;304004114;1;688;680;0;10;0;689;681;0;0;1;2194;0;18;18;9;1;00000100380400010002000000000000;[NULL];0;0;1;0;0;1;[NULL];[NULL]
